Business Name,Description,Industry Code,Industry,Employees,Address,Mailing Address,Distance,Phone,Key Contact,Title,Web Site,Established
Teamlogic IT,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"427 High St # 525 BURLINGTON, NJ 08016-4551",,0.2,609-526-3600,Stewart Paul,Manager,TEAMLOGICIT.COM,2020
VR Computer Svc,Computers-Networking,541500,Computer Systems Design and Related Services,1-4,"427 High St BURLINGTON, NJ 08016-4587",,0.2,609-387-1100,,,,2004
Able Technology Partners LLC,Information Technology Services,541500,Computer Systems Design and Related Services,5-9,"102 W Broad St # 1 BURLINGTON, NJ 08016-1406",,0.2,856-266-9740,Brian Minker,Owner,ABLETP.NET,2017
Focused Ingenuity Inc,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,5-9,"205 Wood St BURLINGTON, NJ 08016-4405",,0.4,443-371-3090,,,,2009
Cementex Insulated Tool Co,Hardware Consultants,541500,Computer Systems Design and Related Services,5-9,"650 Jacksonville Rd BURLINGTON, NJ 08016-3333",,0.6,609-387-5590,,,CEMENTEXUSA.COM,2013
Twin Oak Group Inc,Website Design Service,541500,Computer Systems Design and Related Services,5-9," BURLINGTON, NJ 08016",,0.8,609-589-3926,,,,2006
Madagoni LLC,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,1-4,"800 Columbus Rd BURLINGTON, NJ 08016-1802",,0.8,848-000-1111,,,,2022
Intelligent Design Design,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"306 Sunset Rd BURLINGTON, NJ 08016-3605",,1.7,609-239-4466,Lee Reeves,CEO,I-DESIGNLLC.COM,2012
Atlas Labs LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"355 Washington St BRISTOL, PA 19007-5207","20 Lenape Trl
Medford Lakes, NJ 08055-1223",1.9,215-000-1111,,,ATLASLABS.WORLD,2021
Joe Becca Technology Group,Data Systems Consultants & Designers,541500,Computer Systems Design and Related Services,1-4,"10 Canal St # 236 BRISTOL, PA 19007-3937",,1.9,215-618-9008,,,,1996
Sapbots Inc,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,5-9,"13 Castle Rd BURLINGTON, NJ 08016-5121",,2,908-000-1111,,,,2023
VR Computer Svc LLC,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"35 Foxchase Dr BURLINGTON, NJ 08016-3045",,2.2,609-000-1111,,,VRCOMPUTERSERVICE.COM,2021
Tenable Computer Decisions Inc,Computer Related Services NEC,541500,Computer Systems Design and Related Services,10-99,"1221 Seabird Dr BRISTOL, PA 19007-5246",,2.5,410-872-0555,David Byrne,Manager,TENABLE.COM,2015
Kuickfix,Computer Services,541500,Computer Systems Design and Related Services,10-99,"1405 Veterans Hwy # G8 BRISTOL, PA 19007-2319",,2.9,215-000-1111,,,,2014
E Waste Experts Inc,Computer Related Services NEC,541500,Computer Systems Design and Related Services,10-99,"416 Green Ln BRISTOL, PA 19007-4001",,3,215-785-2739,Carl Brown,President,EWASTEEXPERTS.COM,2013
Micro Technology Groupe Inc,Computers-Networking,541500,Computer Systems Design and Related Services,10-99,"200 Rittenhouse Cir # 3W BRISTOL, PA 19007-1626",,3.1,215-788-6811,,,247TECH.COM,2006
Clario,Data Retrieval Services,541500,Computer Systems Design and Related Services,10-99,"1501 Grundy Ln # A BRISTOL, PA 19007-1506",,3.2,215-781-8302,,,CLARIO.COM,2018
Peter Zilahy Ingerman PH,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"40 Needlepoint Ln WILLINGBORO, NJ 08046-1928",,3.2,609-871-7474,,,,1957
Data-Core Systems Inc,Information Technology Services,541500,Computer Systems Design and Related Services,100-499,"111 Sinclair Rd BRISTOL, PA 19007",,3.4,215-243-1990,Ron Szoszak,Vice President,DATACORESYSTEMS.COM,2007
E2Dag LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,5-9,"52 Peachfield Ln WILLINGBORO, NJ 08046-2617","A1 Bentley Rd
Eastampton Twp, NJ 08060-3345",3.5,908-000-1111,,,,2023
